"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMC","ACMC_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSC","ACSC_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFI","WDFI_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFI","WSFI_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV07","WV07_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00023183","1933-06-22","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  417",",,6","  261",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  289",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-23","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  411",",,6","  228",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  250",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-24","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  422",",,6","  200",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  289",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-25","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  417",",,6","  200",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  256",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-26","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  422",",,6","  206",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  256",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-27","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  422",",,6","  200",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  300",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-28","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  383",",,6","  194",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  239",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-29","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  406",",,6","  183",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  250",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-30","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  400",",,6","  183",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  289",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-01","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  383",",,6","  211",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  283",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-02","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  383",",,6","  239",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  294",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-03","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  417",",,6","  211",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  267",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-04","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  428",",,6","  256",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  272",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-05","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  417",",,6","  250",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  300",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-06","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  406",",,6","  261",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  294",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-07","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  422",",,6","  256",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  283",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-08","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  444",",,6","  239",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  306",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-09","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  439",",,6","  256",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  317",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-10","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  422",",,6","  261",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  311",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-11","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  428",",,6","  261",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  339",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-12","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","T,,6,null","    0",",,6",,,"  417",",,6","  294",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  356",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-13","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","T,,6,null","    0",",,6",,,"  439",",,6","  278",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  333",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-14","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","T,,6,null","    0",",,6",,,"  433",",,6","  300",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  317",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-15","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  406",",,6","  278",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  322",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-16","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","T,,6,null","    0",",,6",,,"  428",",,6","  278",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  317",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-17","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","   84",",,6,null","    0",",,6",,,"  383",",,6","  272",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  306",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-18","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  411",",,6","  267",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  322",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-19","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  428",",,6","  256",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  328",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-20","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  439",",,6","  256",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  339",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-21","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    3",",,6,null","    0",",,6",,,"  422",",,6","  272",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  272",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-22","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  417",",,6","  256",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  311",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-23","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    5",",,6,null","    0",",,6",,,"  439",",,6","  267",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  272",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-24","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","T,,6,null","    0",",,6",,,"  433",",,6","  244",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  333",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-25","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  439",",,6","  272",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  300",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-26","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  450",",,6","  283",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  333",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-07-27","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","    0","P,,6,null","    0",",,6",,,"  433",",,6","  289",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  317",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
